coffee_type,rating,weight_formatted_to_gramms
"medium roast,black rifle coffee",0.0,623.7
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
"mocha,light roast",4.1,680.4
medium roast,4.8,340.2
"espresso,arabica,medium roast",4.6,283.5
medium roast,4.8,680.4
dark roast,5.0,340.2
dark roast,4.7,340.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
dark roast,4.7,340.2
"medium-dark roast,dark roast",4.8,680.4
espresso,4.4,453.6
"medium roast,black rifle coffee",5.0,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
medium roast,3.8,340.2
"canned coffee,classic roast",4.8,623.7
"colombian,medium-dark roast,dark roast",4.6,340.2
medium roast,4.9,652.0
colombian,4.6,623.7
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"colombian,medium roast",4.6,680.4
light roast,4.5,297.7
"espresso,ristretto",4.5,283.5
medium roast,4.5,680.4
dark roast,4.6,510.3
dark roast,4.6,297.7
medium roast,4.0,510.3
espresso,4.4,283.5
medium roast,4.8,850.5
medium roast,4.5,734.3
medium roast,4.7,680.4
medium roast,4.8,907.2
caramel,0.0,340.2
espresso,4.5,283.5
dark roast,4.5,297.7
medium roast,4.6,793.8
medium roast,4.2,680.4
"espresso,dark roast",4.7,283.5
medium roast,4.9,907.2
medium roast,4.8,340.2
colombian,4.8,1048.9
"colombian,medium roast",4.7,850.5
"black silk ground coffee,dark roast",4.9,955.4
classic roast,3.8,1142.5
medium roast,4.8,1020.6
black silk ground coffee,4.7,1048.9
medium roast,4.8,311.8
"medium roast,classic roast",4.5,640.7
"colombian,medium roast",3.5,955.4
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
dark roast,4.5,70.9
"mocha,arabica",4.4,481.9
"french,french roast",4.8,680.4
medium roast,4.9,907.2
"medium roast,classic roast",4.6,864.7
cappuccino,4.1,340.2
espresso,3.5,283.5
caramel,3.6,453.6
cold brew coffee,4.5,907.2
"espresso,dark roast",4.7,283.5
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.8,249.5
"french,french roast,dark roast",4.6,297.7
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"french,french roast,dark roast",4.7,340.2
"black rifle coffee,dark roast",0.0,623.7
medium roast,4.3,978.1
medium roast,4.8,425.2
french,4.8,680.4
"light roast,black rifle coffee",0.0,340.2
light roast,4.7,283.5
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.6,297.7
light roast,4.6,2381.4
medium roast,4.8,453.6
dark roast,4.7,793.8
light roast,4.3,311.8
"espresso,dark roast",4.4,249.5
medium roast,4.8,850.5
medium roast,4.5,734.3
"italian,italian roast,dark roast",4.7,340.2
light roast,4.4,340.2
iced coffee,4.6,680.4
medium roast,4.7,907.2
"black rifle coffee,dark roast",0.0,623.7
"black rifle coffee,dark roast",0.0,340.2
light roast,4.4,311.8
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
dark roast,5.0,170.1
light roast,4.7,340.2
light roast,4.2,907.2
"arabica,medium roast",4.9,340.2
"espresso,espresso roast,dark roast",4.4,340.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.6,2381.4
french,4.6,340.2
instant coffee,4.9,170.1
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"espresso,dark roast",5.0,249.5
medium roast,4.8,2381.4
caramel,4.7,340.2
"caramel,medium roast",4.6,340.2
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.3,340.2
"colombian,medium roast",4.6,311.8
"french,french roast,arabica,dark roast",4.3,283.5
dark roast,4.8,283.5
medium roast,4.5,680.4
medium roast,4.8,850.5
medium roast,4.5,734.3
dark roast,3.5,453.6
"macchiato,mocha,medium roast",4.6,311.8
medium roast,4.8,283.5
"italian,italian roast,dark roast",0.0,297.7
dark roast,4.5,340.2
"medium roast,black rifle coffee",5.0,1247.4
"french,french roast",4.8,340.2
dark roast,4.6,680.4
"iced coffee,medium roast",4.6,680.4
"instant coffee,medium roast",4.4,751.3
light roast,0.0,907.2
dark roast,4.6,283.5
caramel,2.9,272.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"light roast,black rifle coffee",0.0,623.7
medium roast,4.8,311.8
cold brew coffee,4.7,1360.8
"espresso,dark roast",0.0,250.3
"espresso,dark roast",5.0,249.5
"caramel,latte,medium roast",4.8,311.8
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"americano,caffe americano,medium dark,medium dark roast,dark roast",4.3,311.8
"caramel,iced coffee",4.3,388.4
"espresso,dark roast",4.7,283.5
medium roast,4.8,340.2
"colombian,medium roast",4.7,850.5
"black silk ground coffee,dark roast",4.9,955.4
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
dark roast,5.0,907.2
medium roast,4.7,368.5
"french,french roast,dark roast",3.5,793.8
medium roast,4.5,340.2
medium roast,4.7,340.2
"mocha,medium roast",3.8,680.4
dark roast,4.3,311.8
dark roast,4.8,510.3
medium roast,4.8,850.5
medium roast,4.5,734.3
"espresso,espresso coffee",4.8,1020.6
medium roast,4.2,340.2
medium roast,4.7,340.2
light roast,4.6,510.3
light roast,5.0,340.2
"arabica,dark roast",4.7,652.0
medium roast,4.4,297.7
"french,french roast,dark roast",4.7,822.1
"french,french roast,dark roast",4.6,680.4
dark roast,4.6,510.3
"mocha,iced coffee",4.7,269.3
dark roast,4.8,297.7
medium roast,4.9,907.2
colombian,4.8,1048.9
classic roast,3.8,1142.5
medium roast,4.8,1020.6
black silk ground coffee,4.7,1048.9
medium roast,4.8,311.8
"medium roast,classic roast",4.5,640.7
"colombian,medium roast",3.5,955.4
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
arabica,0.0,510.3
"espresso,dark roast",4.8,283.5
"espresso,espresso coffee",4.8,283.5
medium roast,4.9,907.2
"medium roast,classic roast",4.6,864.7
medium roast,5.0,340.2
medium roast,4.7,311.8
light roast,4.8,717.2
iced coffee,4.1,388.4
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
dark roast,4.7,340.2
medium roast,4.7,1360.8
"french,light roast",4.6,340.2
"french,french roast,dark roast",4.6,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"caramel,macchiato,iced coffee",4.3,1814.4
medium roast,0.0,340.2
medium roast,4.5,680.4
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
espresso,4.7,184.3
"mocha,iced coffee",4.2,1814.4
"instant coffee,classic roast",4.6,340.2
medium roast,4.5,297.7
light roast,5.0,680.4
iced coffee,4.2,1814.4
"colombian,dark roast",4.6,680.4
medium roast,4.8,850.5
medium roast,4.5,734.3
cold brew coffee,4.7,1360.8
"arabica,dark roast",5.0,283.5
medium roast,0.0,680.4
medium roast,4.6,680.4
dark roast,0.0,340.2
medium roast,0.0,340.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
dark roast,0.0,680.4
"medium roast,classic roast",4.9,1445.8
"caramel,macchiato,medium roast",4.7,311.8
medium roast,4.7,725.7
dark roast,4.7,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"caramel,iced coffee",4.5,269.3
caramel,4.3,680.4
medium roast,4.5,283.5
medium roast,4.8,311.8
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,0.0,907.2
medium roast,4.8,2835.0
"caramel,cappuccino,medium roast",4.5,340.2
"french,cappuccino,medium roast",4.4,340.2
classic roast,4.5,1088.6
medium roast,4.8,850.5
medium roast,4.5,734.3
"caramel,arabica,medium roast",4.8,283.5
iced coffee,4.1,269.3
"instant coffee,classic roast",4.8,453.6
"caramel flavored,caramel,arabica,medium roast",4.8,283.5
"arabica,medium roast",4.9,283.5
classic roast,4.5,538.6
medium roast,4.5,340.2
"espresso,dark roast",4.7,283.5
medium roast,4.9,907.2
medium roast,4.8,340.2
colombian,4.8,1048.9
"colombian,medium roast",4.7,850.5
"black silk ground coffee,dark roast",4.9,955.4
classic roast,3.8,1142.5
medium roast,4.8,1020.6
black silk ground coffee,4.7,1048.9
"medium roast,classic roast",4.5,640.7
"colombian,medium roast",3.5,955.4
medium roast,4.9,340.2
"arabica,medium roast",4.8,283.5
medium roast,4.9,907.2
"medium roast,classic roast",4.6,864.7
"mocha,iced coffee",4.1,1814.4
cold brew coffee,4.8,1360.8
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"french,medium roast",4.8,311.8
"arabica,light roast",4.7,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
medium roast,0.0,340.2
"arabica,medium roast",4.8,283.5
light roast,4.5,680.4
medium roast,4.6,311.8
medium roast,4.7,283.5
"espresso,medium roast",0.0,340.2
"colombian,medium roast",4.6,340.2
"french,french roast",0.0,453.6
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"arabica,medium roast",4.5,907.2
mocha,4.7,425.2
"french,medium-dark roast,dark roast",4.8,340.2
medium roast,4.8,249.5
medium roast,4.8,850.5
medium roast,4.5,734.3
"medium roast,classic roast",4.7,340.2
medium roast,4.8,1701.0
dark roast,4.7,340.2
"colombian,instant coffee",4.8,99.2
"arabica,medium roast",4.9,283.5
dark roast,4.7,340.2
"french,french roast,arabica",0.0,510.3
arabica,0.0,510.3
light roast,0.0,283.5
light roast,0.0,340.2
"arabica,dark roast",4.7,907.2
"mocha,light roast",4.3,311.8
arabica,0.0,510.3
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"espresso,italian,dark roast",4.7,907.2
light roast,0.0,907.2
"arabica,medium roast",4.8,283.5
medium roast,4.6,680.4
medium roast,4.0,680.4
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"french,french roast,arabica,dark roast",4.7,907.2
"arabica,medium roast",4.7,283.5
medium roast,0.0,340.2
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
dark roast,4.8,680.4
"caramel,arabica,medium roast",4.8,283.5
"cappuccino,medium roast",4.5,340.2
medium roast,4.8,850.5
medium roast,4.5,734.3
dark roast,0.0,340.2
medium roast,4.7,680.4
"mocha,arabica",4.5,311.8
dark roast,0.0,283.5
"colombian,medium roast",4.5,623.7
iced coffee,2.5,1814.4
dark roast,4.4,283.5
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
dark roast,4.5,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"instant coffee,light roast",4.6,189.9
"instant coffee,dark roast",4.8,99.2
"espresso,dark roast",4.7,283.5
medium roast,4.8,340.2
"colombian,medium roast",4.7,850.5
"black silk ground coffee,dark roast",4.9,955.4
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,4.6,340.2
medium roast,0.0,340.2
"espresso,dark roast",3.7,283.5
"caramel,light roast",4.5,340.2
medium roast,3.3,340.2
medium roast,4.4,1530.9
medium roast,4.8,850.5
medium roast,4.5,734.3
medium roast,4.6,340.2
"espresso,espresso coffee",4.8,283.5
medium roast,0.0,340.2
"cappuccino,instant coffee,medium roast",4.7,453.6
"arabica,medium roast",4.4,283.5
dark roast,0.0,340.2
light roast,4.8,340.2
medium roast,0.0,283.5
light roast,4.5,1530.9
medium roast,4.9,907.2
colombian,4.8,1048.9
classic roast,3.8,1142.5
medium roast,4.8,1020.6
black silk ground coffee,4.7,1048.9
medium roast,4.8,311.8
"medium roast,classic roast",4.5,640.7
"colombian,medium roast",3.5,955.4
"espresso,espresso coffee,dark roast",4.4,283.5
medium roast,4.9,907.2
"medium roast,classic roast",4.6,864.7
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,0.0,907.2
light roast,4.7,340.2
latte,4.3,340.2
french,4.6,680.4
"french,french roast,dark roast",4.9,1530.9
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"espresso,espresso coffee",5.0,283.5
french,4.6,340.2
"medium dark,medium dark roast,dark roast",0.0,340.2
mocha,4.7,425.2
espresso,4.7,2041.2
"caramel,mocha,arabica",3.4,623.7
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
medium roast,0.0,340.2
medium roast,0.0,283.5
light roast,4.3,340.2
italian,5.0,680.4
"french,french roast,dark roast",4.7,907.2
medium roast,4.6,340.2
medium roast,4.8,850.5
medium roast,4.5,734.3
"espresso,dark roast",4.8,283.5
"espresso,dark roast",4.8,249.5
dark roast,4.8,340.2
french,4.7,283.5
dark roast,4.6,623.7
"arabica,medium roast",4.7,283.5
"caramel,cappuccino,instant coffee,medium roast",4.7,453.6
"arabica,dark roast",4.9,283.5
caramel,4.4,272.2
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
french,4.7,283.5
medium roast,0.0,340.2
medium roast,4.6,326.0
"medium-dark roast,dark roast",4.7,340.2
medium roast,0.0,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
"mocha,latte",4.3,340.2
medium roast,4.6,1530.9
medium roast,4.7,283.5
medium roast,4.8,283.5
"arabica,medium roast",4.6,283.5
"espresso,instant coffee,dark roast",4.7,199.9
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
"blonde roast,arabica",4.6,907.2
dark roast,4.2,283.5
light roast,0.0,283.5
medium roast,4.8,850.5
medium roast,4.5,734.3
"colombian,instant coffee,medium roast",4.7,453.6
medium roast,4.5,623.7
"espresso,espresso coffee",0.0,283.5
"french,french roast,dark roast",4.7,680.4
dark roast,4.1,453.6
dark roast,4.9,340.2
light roast,4.3,340.2
"medium-dark roast,dark roast",4.4,340.2
"cappuccino,mocha",4.4,311.8
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
"arabica,medium roast",4.5,340.2
medium roast,4.8,340.2
"colombian,medium-dark roast,dark roast",4.4,340.2
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
light roast,4.5,1020.6
medium roast,0.0,283.5
french,4.7,119.1
classic roast,3.4,8.8
medium roast,4.4,453.6
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
light roast,0.0,340.2
medium roast,4.3,510.3
dark roast,4.8,11.1
french,0.0,283.5
medium roast,4.8,850.5
medium roast,4.5,734.3
dark roast,4.8,340.2
"blonde roast,arabica",4.5,340.2
medium roast,4.1,1043.3
"french,french roast,dark roast",4.9,340.2
"instant coffee,dark roast",4.4,99.2
light roast,3.5,340.2
dark roast,0.0,340.2
"arabica,medium roast",4.9,283.5
classic roast,3.8,1142.5
"espresso,dark roast",4.7,283.5
"medium roast,classic roast",4.4,734.3
medium roast,4.7,283.5
light roast,4.5,640.7
"espresso,medium roast",0.0,283.5
colombian,4.0,1190.7
"espresso,espresso roast",3.6,1360.8
"black silk ground coffee,dark roast",4.9,955.4
"black silk ground coffee,dark roast",4.6,640.7
caramel,4.2,340.2
light roast,3.5,340.2
"mocha,medium roast",4.5,311.8
medium roast,4.8,340.2
"colombian,medium roast",3.5,955.4
light roast,4.7,340.2
"medium-dark roast,dark roast",4.8,1020.6
"espresso,dark roast",4.7,283.5
"medium-dark roast,dark roast",5.0,1020.6
medium roast,4.8,850.5
medium roast,4.5,734.3
"mocha,iced coffee",1.8,425.2
medium roast,0.0,340.2
dark roast,0.0,283.5
mocha,4.7,425.2
medium roast,4.7,311.8
"arabica,medium roast",4.6,283.5
"espresso,espresso roast",4.0,510.3
dark roast,0.0,283.5
"espresso,dark roast",0.0,249.5
"arabica,dark roast",4.3,340.2
"arabica,medium roast",4.5,623.7
